id,name
S1,Shady Grove
S2,Rockville
S3,Bethesda
S4,Dupont Circle
S5,Metro Center
S6,Union Station
S7,Silver Spring
S8,Franconia–Springfield
S9,Pentagon
S10,Arlington Cemetery
S11,Rosslyn
S12,Foggy Bottom
S13,Farragut West
S14,L’Enfant Plaza
S15,Stadium–Armory
S16,Vienna
S17,Ballston
S18,Minnesota Ave
S19,Huntington
S20,Eisenhower Ave
S21,Archives
S22,Gallery Place
S23,Fort Totten
S24,Branch Ave
S25,Navy Yard
S26,Columbia Heights
S27,Greenbelt
